,sub_id,group,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11
sub-1162,30,2,-0.2464,0.1906,0.02682,0.411,0.4892,0.1902,0.3919,-0.2635,0.09217,0.08734,
sub-1165,31,2,0.2263,0.2662,0.002089,0.3147,0.5481,0.5979,0.3867,0.4164,-0.02515,,
sub-1167,32,1,0.3227,0.4192,-0.06972,0.1215,0.1363,0.1264,0.0319,0.62,0.1411,,
sub-1168,33,2,0.1506,0.2865,0.06389,0.03987,0.1617,0.1992,0.1254,-0.1576,0.506,-0.008487,0.09476
sub-1169,34,1,0.06364,-0.1827,-0.1643,0.2293,0.04006,-0.3486,0.2618,0.04993,0.1111,-0.08161,
sub-1171,35,2,0.3126,-0.1225,-0.1463,0.5697,0.003283,0.01692,-0.07505,0.326,0.1633,,
sub-1173,36,2,0.4431,0.3228,0.06982,0.2939,0.2729,0.06964,0.2353,0.3509,0.1341,0.3731,-0.4496
sub-1174,37,1,0.1556,-0.08768,0.3824,0.1171,0.2711,-0.2218,0.4971,-0.03334,0.09796,0.07033,0.2911
sub-1175,38,2,-0.2482,-0.1707,0.1057,0.3837,-0.3704,0.0488,0.6222,0.06164,0.03121,0.2177,-0.1748
sub-1176,39,1,0.007906,0.01185,0.2908,0.1597,0.2977,0.00533,0.2059,0.1691,-0.2862,-0.01253,
sub-1178,40,1,0.2759,-0.3577,0.049,0.03518,0.01771,0.2481,0.6654,-0.2122,,,
sub-1179,41,1,0.03001,0.333,0.1778,0.2076,0.3812,0.2738,0.1137,-0.1937,-0.09996,,
sub-1180,42,2,0.2099,-0.01414,-0.2985,-0.1487,0.3763,0.2986,0.359,-0.1114,-0.1262,-0.09009,0.2262
sub-1181,43,1,0.2775,0.03454,0.05588,0.4828,0.3135,0.1911,-0.2339,0.0353,0.097,0.1047,-0.1125
sub-1182,44,1,0.6012,0.1987,-0.126,0.01922,0.3403,0.4237,0.5114,0.2609,0.1199,,
sub-1183,45,1,-0.05631,0.102,-0.03961,0.02213,0.2369,-0.3102,0.0457,0.2884,0.1929,-0.108,0.2945
sub-1184,46,2,-0.09716,0.06391,-0.08314,0.03923,0.269,-0.06002,0.4687,0.6446,-0.7075,,
sub-1185,47,1,0.6437,-0.04464,0.271,-0.1345,0.1954,0.1003,0.1623,-0.1263,0.2652,,
sub-1188,48,2,0.01436,0.3708,0.1598,-0.2343,-0.009435,0.432,0.03471,0.2531,0.1254,0.1582,-0.08722
sub-1189,49,1,0.04952,0.3597,0.5748,0.2215,0.06705,0.07581,0.3451,0.2737,0.1789,,
sub-1190,50,1,0.07383,0.2779,-0.01971,0.1382,0.1966,0.3111,0.07852,0.03422,0.4289,-0.1544,
sub-1191,51,1,0.7172,-0.003345,-0.1752,0.01898,0.01774,0.638,-0.01113,-0.2123,0.06983,-0.1332,0.2733
sub-1193,52,1,0.5483,0.3469,0.4274,0.2841,0.4294,0.4073,0.3892,0.7045,0.7851,0.6139,
sub-1195,53,2,0.1109,-0.3269,-0.07905,0.2159,0.3668,-0.01235,0.2265,-0.4353,-0.1438,,
sub-1196,54,2,0.828,-0.2439,-0.4893,-0.3385,-0.3167,-0.08794,-0.1017,-0.1732,0.3346,0.2118,
sub-1197,55,1,-0.01034,-0.01173,-0.5291,0.3766,0.3808,0.4171,0.3551,0.3124,0.1761,0.5553,
sub-1198,56,1,-0.09865,0.3577,0.568,0.7281,0.2796,0.6398,0.7325,0.2742,0.6789,0.329,0.6926
sub-1200,57,1,0.04044,-0.1791,-0.123,0.2122,-0.1756,0.6584,-0.01679,0.1082,-0.1172,-0.04179,0.3883
sub-1201,58,2,0.4905,0.4942,0.715,0.01365,0.3208,0.3149,0.2497,0.814,0.5165,0.2366,
sub-1202,59,1,0.2159,0.2732,0.3003,0.3261,0.2129,0.2125,0.5462,0.4061,0.3041,0.5784,-0.1484
sub-1203,60,2,0.06279,0.1621,0.02772,0.1186,-0.243,0.08602,0.2074,-0.1996,0.1773,-0.1074,
sub-1204,61,1,0.4561,0.231,-0.06697,0.22,0.1285,0.1732,0.1245,0.1992,-0.000444,-0.08114,-0.01345
sub-1205,62,1,0.08304,-0.1552,0.02365,0.03858,-0.1668,-0.2525,0.302,-0.05239,0.07119,0.4811,
sub-1206,63,2,0.1401,0.5193,0.6759,0.2482,0.1732,0.09242,0.3948,0.2586,0.5511,0.4525,0.2809
sub-1207,64,2,0.2103,0.4379,0.2181,-0.04715,0.4139,-0.1254,0.05958,0.4265,0.1953,0.05133,
sub-1208,65,2,0.195,0.0302,0.07653,0.1529,0.04312,0.2738,0.2442,0.1197,0.6284,0.06524,
sub-1209,66,2,0.1335,0.6574,0.346,0.3912,0.3004,0.07572,0.07065,0.3827,0.3077,0.2528,
sub-1210,67,2,0.1647,0.1056,0.2906,0.9267,0.7871,0.966,0.5273,0.5476,0.3023,0.5058,
sub-1211,68,1,0.4714,0.494,0.6149,0.102,0.3528,0.3556,0.3186,0.2704,-0.1352,,
